round_dir	species	reference	foliage	photo_width_over_height	still_width_over_height	photo_crown_base	still_crown_base	photo_occupied	still_occupied	photo_outline_deviation	still_outline_deviation	photo_centre_mean	still_centre_mean	still_sha256	pair_sha256
round15-birch	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.3781	0.1311	0.2725	92.4000	168.5000	dd4e8ace4c39a165e98904f1f22d8c674c17988df02a96c228a5ad31ac797d70	cf6fa81cc4e6b30e443bf1dfba49cb729a2144939bef067aaa541ba6d345e85d
round15-birch	silver-birch	S-WHOLE	leaf-on	0.8461	0.8951	0.0800	0.1883	0.4426	0.4604	0.2189	0.1146	83.0000	43.6000	7b47facfd5bae94f68fa4b91477763aaee3fcf2b21ad551b701c4ff7805b8136	3e68b12f07b80d818a51616def9b5c9ecc82419428db947d15410086ff6bf9cb
round15b-fn48	silver-birch	S-BARE	hidden	0.7018	0.6718	0.1500	0.1618	0.4587	0.5183	0.1676	0.0987	91.3000	78.8000	ee36a706cc305588954360206bd4ee1844595feec69d8470efb6664bb3634c8e	3c980c827f7f96343f360a01b9abdb4bc8037d6d2fbd04ab64db7b6a64a5c84b
round15b-fn48	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.2853	0.1311		92.4000	166.3000	900ad63ae0103e75f14bf249475e00039e9d1977dd385676bf2170efaf61c606	3483149a09e0719d357a314ef68c37681704a940884851986ef0895692a3bd50
round15b-fn48	silver-birch	S-WHOLE	leaf-on	0.8461	0.8854	0.0800	0.1404	0.4426	0.4665	0.2189	0.1106	83.0000	43.7000	908504eaaf58ceb054ba50daa547b04021b40b165db7cdba53c4c9ecf79be2d6	c77b92de9876f2b288610f79902883734f74984d8daddd7669793487f79773d1
round16-fn40	european-beech	B-BARE	hidden	0.7417	0.7280	0.2500	0.2312	0.2813	0.4182	0.2937	0.0758	99.9000	137.4000	59c47cf6b5dbcb701299dbee72e84aeb5cfc71c553802cb98e01d8da546c9f39	7e1d98fd923597de18496962906e68bf186215f9aee4e54674a376d865d5a8f4
round16-fn40	european-beech	B-BASE	hidden	0.6000	0.6674	1.0000	0.0410	0.0454	0.1958		0.1485	129.7000	121.9000	368b0192f8a9cf74b6aa86b304df92cdfda22449e0899ff4903f1ba01b6a1fb4	2e580141724cd1d05a5fd091a7e036d06df4c08505d05985b9317120247f9dc1
round16-fn40	european-beech	B-WHOLE	leaf-on	0.6965	0.7430	0.1200	0.0930	0.4566	0.6540	0.2274	0.0735	79.7000	41.2000	0401cd7197d0c39f8c4fc457009b9c1eeef90d2df653d94792dc711926f77fd5	3998849dbe5ebc96d19857bf8dcf5e537b3cf048edb1137591375c56e92802c8
round16-fn40	silver-birch	S-BARE	hidden	0.7018	0.6799	0.1500	0.1956	0.4587	0.5053	0.1676	0.0852	91.3000	95.6000	0bb84862e0c18136931b87be3881f45ec3e15057c446ea0a032e732c5e641463	f49f8590738c380bb91478e6e13d1e5602b5f9a4898f0775073c351228f60fbf
round16-fn40	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.3099	0.1311	0.4958	92.4000	130.5000	8d6803f5c88f5675874a0208640f9a47a4c593fb252b121c7f8af137c4ffb49d	b41308d9cb2bb1b7898732eaa6816e1573d33dda1de5727c2c5fb1b7aa3fef6c
